,text,class_id,website
0,"Welcome to Epoch News, I’m Tatiana Darzi.
In China, three high school students have died while exercising on school grounds despite reports of the CCP virus resurfacing. One student died while running and the other two died while running with their face masks on.
-
10:00 3 High School Students Died At School While Doing Sports
04:13 House Republicans Looking Into CCP Infiltration of US Colleges
07:46 Taiwan Proves Democracy to China
10:45 Police Clash with Garment Makers and Store Owners in Guangzhou
12:57 Half of all Restaurants in Northeast Chinese Cities Close
19:57 Trump’s Live speech - Title: President Trump Meets with the Governor of Iowa Kim Reynolds
24:09 Internal Chinese Report Warns Beijing Faces Global Backlash Over Virus
26:28 Production, Business Adaptation, Increased Profits, and Layoffs
27:55 Charts: CCP Virus Numbers
28:36 Sign the Petition: ccpvirustruth.com
-
That’s all for today!
Don’t forget to Like, Subscribe, and Share this program with friends and family to keep them informed about the latest news and updates. 
Thank you for joining me. See you next time!


#CCPvirus #Wuhan #Coronavirus#COVID-19
Sign the Petition to Investigate, Condemn, and Reject the Chinese Communist Party
▶️https://ccpvirustruth.com

------------------
SUBSCRIBE OUR CHANNEL TODAY: 
🔔https://bit.ly/EpochSubs

Follow us on Facebook:
https://www.facebook.com/epochtimes/

WATCH MORE ON YOUTUBE
🔵 [Exclusive investigative report] The first documentary movie on the origin of C.C.P. virus
👉 https://bit.ly/OriginOfVirus

🔵Spain Suffers In Pandemic For Covering Up For China
👉 https://bit.ly/2zhre0o

🔵 Chinese in the US  the plague made me see through the CCP’s evil nature
👉 https:/bit.ly/2WaqByL
------------------
Get the latest updates as well as exclusive reporting and first-hand videos about the CCP virus from The Epoch Times website.
▶️ https://www.theepochtimes.com/coronavirus
------------------
SUBSCRIBE TO THE EPOCH TIMES
Print subscription (delivery inside the U.S only):
https://theepochtimes.f2vr2q.net/q9Bob",1,The Epoch Times
1,"Following the arrest of WikiLeaks founder Julian Assange, questions are being raised as to the legality of his practices and what consequences he could face. One America's Alex Salvi explains how the precedent for his arrest was set by the prior administration.

Visit us at:

Website: https://www.oann.com

Facebook: https://www.facebook.com/OneAmericaNewsNetwork

Twitter: https://twitter.com/OANN",1,One America News Network
2,"This week, y’all are gonna finally meet Malcolm & Marie. Buckle up.

This movie is actually the result of an unprecedented circumstance called the coronavirus pandemic, which forced many things to shut down—including the bulk of the Hollywood production industry. One of those productions was HBO’s Euphoria. Like most creatives, such limits can either further bury any creative spark...or fully ignite it. The latter was true for Zendaya and show creator Sam Levinson, who decided to make a COVID-compliant production inspired by a conversation between the two. Thus, Malcolm & Marie was born.

READ MORE HERE: https://thegrapevine.theroot.com/malcolm-marie-zendaya-and-john-david-washington-disc-1846140475",0,The Root
3,"From Rush Limbaugh to Fox News and more, this is how conservatives talked about women in the past year.",0,mediamatters4america
4,"http://www.rightwingwatch.org/content/ted-cruz-gay-community-waging-jihad-against-religious-freedom
Right Wing Watch reports on the extreme rhetoric and activities of key right-wing figures and organizations by showing their views in their own words. In this video, Ted Cruz absurdly warns of a gay ""jihad"" against marriage and religious liberty.

Original Source: Caffeinated Thoughts: https://youtu.be/e4Sa13-NgGE",0,RWW Blog
5,"For all the latest news and commentary, visit https://www.ConservativeReview.com ; CR on FB: https://goo.gl/A6Y7ZZ
• Venezuelan President Nicolás Maduro has crushed efforts to recall his failed presidency.

• It always happens this way. When you give so much power to one person, they're bound to abuse it.

• Socialism promises equality, but it always ends up devolving into petty dictatorship.",1,Conservative Review
6,"Campus Reform Digital Reporter Eduardo Neret went to George Washington University to find out if students would vote for Hillary Clinton again in 2020. Many students were hoping Hillary would just ""go home."" 

Read more: https://www.campusreform.org/?ID=13903
-----------------------------------------------------------------------------------------------------------

Follow us on Twitter ► http://twitter.com/campusreform
Like us on Facebook ► http://www.facebook.com/CampusReform

Campus Reform, a project of the Leadership Institute, is America's leading site for college news. As a watchdog to the nation's higher education system, Campus Reform exposes bias and abuse on the nation's college campuses.

Our team of professional journalists works alongside student activists and student journalists to report on the conduct and misconduct of university administrators, faculty, and students.

Campus Reform holds itself to rigorous journalism standards and strives to present each story with accuracy, objectivity, and public accountability.",1,Campus Reform
7,,0,Daily Kos
8,"The Federalist is a conservatarian web magazine focused on culture, politics, and religion. Be lovers of freedom and anxious for the fray. 

*****

CLICK here to subscribe to our channel: https://www.youtube.com/thefederalist1776

READ The Federalist: http://thefederalist.com

LISTEN to The Federalist Radio Hour: https://thefederalist.com/tag/federalist-radio-hour/

SUBSCRIBE to our newsletters: https://newsletters.thefederalist.com

FOLLOW The Federalist on Twitter: https://twitter.com/FDRLST

FOLLOW The Federalist on Instagram: https://www.instagram.com/fdrlst/

FOLLOW The Federalist on Facebook: https://www.facebook.com/fdrlst

SHOP our online store for t-shirts, stickers, and more: https://fdrlst.myshopify.com",1,The Federalist
9,"The Republican senator did not hold back in his grave words for the Democratic senators.

For more news, visit our site: https://www.westernjournal.com/

Facebook: https://www.facebook.com/WesternJournal/
Twitter: https://twitter.com/WestJournalism",1,The Western Journal
