,index,text,class_id,website,author
1292908,159800,"She is sort of Black Hillary ,,,same family,,, who wanted to be a president ?   Her self",1,One America News Network,happy moon
1006487,1838366,it's beautiful he still has a positive outlook on life. I'm thankful for the grace he was given to see the light at the end of the tunnel. Who are those that are disliking the video?Like really?,0,The Atlantic,INEGBENOSE OSOSE
74014,1756960,I'm loving her ability to put the morons in their place... Calm cool and to the point,1,BlazeTV,57 RED ROOSTER
512343,1430505,"Their way of life is not compatible with our way of life....wow such a well spoken, intelligent Hard AF man 😍 Now that's a man....and one WE ALL NEED TO LISTEN TO HIM",1,Fox News,Teighan Greaves
1874016,1997700,It’s pretty clear the people rooting for Harris haven’t see this.,1,The Daily Wire,AJ A
525756,735972,@Maestro I understand it is whitey behind all of this for political reasons. The thing is it’s pumping up black people to lash out against whites. All I’m saying is I won’t be a victim. Why do they appoint themselves as spokesperson for blacks and then blacks believe it. I know I know it’s all political BS but I’m really sick of the anti white narrative. I’m not disagreeing with you on any of your points just so you know. You are right.,1,Project Veritas,Walter Sobchak
1197024,177619,Is it wrong to spend time golfing and tweeting on Thanksgiving with a family?,1,One America News Network,Eden Rose
742299,2077888,Adam Wickert I thanked a couple of police officers today for their work.,1,The Daily Wire,Wellch
1216629,1310921,Ray and CIA director . Both are working against Trump .,1,Newsmax TV,ruru
2218635,423450,"Which adult has no ID, Black, White or Brown?! If someone doesn’t have the sense or motivation to acquire an ID, they shouldn’t be voting anyway.",1,Campus Reform,Sammy G
2032037,982307,“It’s like a barcode” DO NOT GET THIS VACCINE. Your soul is more important!,1,CBN News,PraiseJesusFirst WarriorForChrist
172346,2191072,"His proposal is to teach evolution as ""theory"" not fact but to also introduce in class rooms religion as another theory (though i'm really getting he wants to believe it to be fact). Why dont we teach ALL religions as theories, why just Christianity. Biased and an moron. Whats next? Burn scientists at the stake of witchcraft?",0,RWW Blog,GlenCodes
1739690,791750,"Look at all of the TRANSFORMATIONS of all of those men into Confident, Afraid of Nothing MANLY MEN!  I know our Heavenly Father is SO Proud of them!!  So Be IT!!",1,Project Veritas,Suzay Grenis
400449,26270,"She says she was traumatized, yet she cannot remember where this happened, when this happened and claims this all came to her from repressed memories that HER psychologist was able to draw out. . . .enough is enough!",1,One America News Network,mountainneko
1524838,411231,@John B Can you provide more examples of college kids NOT participating like this? Can you provide examples outside of this YouTube channel we're commenting on?,1,Campus Reform,pbee73
1373096,11822,"As I've said before, the only thing we need to do to utterly destroy the Democrat party is to simply enforce the law.",1,One America News Network,Dydreth
